# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
# Bourg de l'étoile (2) - Route 1 (5)
2,N,0,5,S,4
# Valhalla (66) - Bourg de l'étoile (2)
66,E,0,2,W,0
# MAP069 (69) - Bourg de l'étoile (2)
69,N,12,2,S,0
# Route 1 (5) - Plateau Météore (7)
5,N,2,7,S,0
# Valhalla (66) - Route 1 (5)
66,N,18,5,S,0
# Route 6 (44) - Route 1 (5)
44,S,43,5,N,0
# Plateau Météore (7) - Route 7 (47)
7,E,0,47,W,0
# Route 6 (44) - Plateau Météore (7)
44,E,0,7,W,5
# Île des voeux (23) - Plateau Météore (7)
23,W,78,7,E,0
# Sentier de l'espoir (21) - Plateau Météore (7)
21,S,0,7,N,21
# Sentier de l'espoir (21) - Route 7 (47)
21,E,77,47,W,0
# Sentier de l'espoir (21) - Île des voeux (23)
21,E,0,23,W,1
# Route 3 (31) - Île des voeux (23)
31,S,32,23,N,0
# Route 44 (35) - Route 3 (31)
35,E,10,31,W,0
# ROUTE 11 (214) - CARMIN-SUR-MER (32)
214,W,0,32,E,1
# ROUTE 6 (98) - CARMIN-SUR-MER (32)
98,S,0,32,N,3
# Centre Pokémon (46) - Algatia (39)
46,0,24,39,27,0
# Filler cerulean (40) - ROUTE 9 (194)
40,S,11,194,N,0
# AZURIA (112) - Filler cerulean (40)
112,N,36,40,S,0
# ROUTE 24 (136) - Filler cerulean (40)
136,E,23,40,W,0
# ROUTE 25 (137) - Filler cerulean (40)
137,S,0,40,N,0
# ROUTE 10 (202) - Filler cerulean (40)
202,N,0,40,S,83
# CAVERNE UNION (41) - QG de la D-SQUAD (509)
41,131,20,509,0,0
# Forêt Utopique 2 (60) - Forêt Utopique (59)
60,92,99,59,0,0
# Forêt Utopique 3 (61) - Forêt Utopique 2 (60)
61,9,0,60,0,103
# MAP069 (69) - Valhalla (66)
69,N,0,66,S,10
# ROUTE 1 (103) - BOURG PALETTE (79)
103,S,0,79,N,0
# Jadielle roche (733) - BOURG PALETTE (79)
733,E,93,79,W,0
# ROUTE 22 (200) - BOURG PALETTE (79)
200,E,78,79,W,0
# ROUTE 7 (99) - CÉLADOPOLE (83)
99,W,0,83,E,0
# ROUTE 8 (193) - LAVANVILLE (97)
193,E,4,97,W,0
# Route 10  (203) - LAVANVILLE (97)
203,S,0,97,N,2
# ROUTE 12 (204) - LAVANVILLE (97)
204,N,0,97,S,0
# Jadielle roche (733) - ROUTE 1 (103)
733,E,54,103,W,0
# JADIELLE (104) - ROUTE 1 (103)
104,S,0,103,N,0
# ROUTE 22 (200) - ROUTE 1 (103)
200,E,39,103,W,0
# JADIELLE (104) - Jadielle roche (733)
104,W,0,733,E,15
# ROUTE 2 (146) - JADIELLE (104)
146,S,0,104,N,0
# ROUTE 22 (200) - JADIELLE (104)
200,E,0,104,W,0
# CINNABAR ISLAND (105) - Blue sea left (127)
105,N,36,127,S,0
# ROUTE 20 Left (209) - CINNABAR ISLAND (105)
209,W,0,105,E,0
# ROUTE 21 (124) - CINNABAR ISLAND (105)
124,S,0,105,N,0
# ROUTE 2 (106) - ROUTE 3 (139)
106,E,0,139,W,28
# ARGENTA (108) - ROUTE 2 (106)
108,S,0,106,N,0
# ARGENTA (108) - ROUTE 3 (139)
108,E,17,139,W,0
# AZURIA (112) - ROUTE 9 (194)
112,E,0,194,W,0
# ROUTE 24 (136) - AZURIA (112)
136,S,0,112,N,1
# ROUTE 4 (148) - AZURIA (112)
148,E,5,112,W,0
# ROUTE 5 (142) - AZURIA (112)
142,N,0,112,S,0
# ROUTE 21 (124) - Blue sea left (127)
124,E,60,127,W,0
# ROUTE 21 (124) - ROUTE 20 Left (209)
124,S,30,209,N,0
# INDIGO PLATEAU (125) - Route 23 up (467)
125,S,0,467,N,4
# ROUTE 20 Left (209) - Blue sea left (127)
209,N,6,127,S,0
# ROUTE 19 (128) - PARMANIE (129)
128,N,0,129,S,10
